"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","16-Oct-2020","       1108.25","       1113.85","       1135.95","       1096.90","       1129.50","       1127.50","       1118.76","   18366133","         20547237503.45","     311640","    4373549","         23.81"
"INFY","EQ","19-Oct-2020","       1127.50","       1135.00","       1139.00","       1115.30","       1127.55","       1125.90","       1125.00","   12902146","         14514954126.60","     215472","    7226329","         56.01"
"INFY","EQ","20-Oct-2020","       1125.90","       1118.90","       1144.70","       1110.00","       1135.90","       1137.50","       1136.69","   10448852","         11877155840.10","     209442","    4993783","         47.79"
"INFY","EQ","21-Oct-2020","       1137.50","       1141.15","       1154.35","       1135.00","       1146.75","       1148.35","       1147.11","   19811809","         22726337788.25","     283354","   13640245","         68.85"
"INFY","EQ","22-Oct-2020","       1148.35","       1142.00","       1158.00","       1123.80","       1135.35","       1129.05","       1138.64","   11271538","         12834266054.15","     264809","    5439757","         48.26"
"INFY","EQ","23-Oct-2020","       1129.05","       1133.00","       1135.00","       1120.15","       1122.40","       1122.50","       1125.55","    9070121","         10208894083.15","     152888","    4907723","         54.11"
"INFY","EQ","26-Oct-2020","       1122.50","       1122.25","       1129.60","       1103.15","       1114.20","       1112.45","       1115.89","    6309643","          7040841830.20","     133779","    2868270","         45.46"
"INFY","EQ","27-Oct-2020","       1112.45","       1105.70","       1109.70","       1077.15","       1094.50","       1090.85","       1089.56","   10172530","         11083562405.55","     261137","    5201636","         51.13"
"INFY","EQ","28-Oct-2020","       1090.85","       1095.50","       1104.75","       1070.05","       1077.50","       1076.55","       1086.00","    7608413","          8262761209.15","     180559","    3307306","         43.47"
"INFY","EQ","29-Oct-2020","       1076.55","       1070.00","       1082.00","       1060.10","       1073.00","       1074.85","       1071.68","    6935804","          7432955729.10","     140609","    2710725","         39.08"
"INFY","EQ","30-Oct-2020","       1074.85","       1072.00","       1083.60","       1052.35","       1060.40","       1060.60","       1064.99","    8800436","          9372342225.30","     164698","    3197426","         36.33"
"INFY","EQ","02-Nov-2020","       1060.60","       1065.00","       1079.95","       1051.10","       1068.70","       1072.30","       1066.94","    7183119","          7663961600.20","     137700","    3553906","         49.48"
"INFY","EQ","03-Nov-2020","       1072.30","       1072.00","       1079.40","       1057.50","       1062.00","       1062.55","       1066.37","    7204782","          7682963162.75","     172016","    3503843","         48.63"
"INFY","EQ","04-Nov-2020","       1062.55","       1068.00","       1116.00","       1066.80","       1094.75","       1093.95","       1097.09","   15702690","         17227273081.60","     307084","    5588325","         35.59"
"INFY","EQ","05-Nov-2020","       1093.95","       1109.90","       1123.00","       1099.00","       1104.95","       1104.00","       1108.49","    9568890","         10607037968.05","     181645","    4762858","         49.77"
"INFY","EQ","06-Nov-2020","       1104.00","       1108.00","       1121.10","       1091.70","       1119.00","       1112.75","       1101.98","    8807127","          9705243123.55","     154736","    4236313","         48.10"
"INFY","EQ","09-Nov-2020","       1112.75","       1129.30","       1146.00","       1121.15","       1135.10","       1136.55","       1133.25","   10160320","         11514169317.70","     202222","    4148739","         40.83"
"INFY","EQ","10-Nov-2020","       1136.55","       1113.85","       1113.85","       1078.00","       1093.90","       1091.05","       1093.14","   15622869","         17077941182.65","     395983","    7600330","         48.65"
"INFY","EQ","11-Nov-2020","       1091.05","       1096.00","       1126.35","       1087.00","       1123.50","       1122.50","       1108.04","   12514800","         13866920724.70","     254701","    5591969","         44.68"
"INFY","EQ","12-Nov-2020","       1122.50","       1128.10","       1142.00","       1113.75","       1119.60","       1117.75","       1123.99","    9180976","         10319310973.00","     196511","    3958369","         43.11"
"INFY","EQ","13-Nov-2020","       1117.75","       1120.00","       1133.00","       1117.00","       1123.45","       1124.20","       1124.07","    6363212","          7152675712.65","     105048","    2589226","         40.69"
"INFY","EQ","14-Nov-2020","       1124.20","       1137.00","       1139.65","       1131.10","       1134.00","       1133.45","       1134.22","    1136144","          1288640516.00","      41663","     446947","         39.34"
"INFY","EQ","17-Nov-2020","       1133.45","       1144.75","       1145.00","       1112.65","       1125.25","       1123.70","       1122.20","   12813968","         14379842098.00","     190186","    7463366","         58.24"
"INFY","EQ","18-Nov-2020","       1123.70","       1128.50","       1132.70","       1101.45","       1111.25","       1110.55","       1111.01","    9839468","         10931765778.50","     168106","    6252183","         63.54"
"INFY","EQ","19-Nov-2020","       1110.55","       1100.00","       1114.70","       1093.80","       1097.00","       1096.75","       1102.13","   10092343","         11123110241.35","     179639","    5447953","         53.98"
"INFY","EQ","20-Nov-2020","       1096.75","       1106.00","       1109.00","       1091.10","       1104.45","       1103.35","       1101.92","    8063554","          8885377125.80","     199981","    4002454","         49.64"
"INFY","EQ","23-Nov-2020","       1103.35","       1105.00","       1144.80","       1101.95","       1138.50","       1139.85","       1128.46","   10546363","         11901155594.05","     200221","    4951543","         46.95"
"INFY","EQ","24-Nov-2020","       1139.85","       1145.00","       1154.90","       1133.35","       1140.15","       1140.05","       1142.60","    8515426","          9729744009.85","     175511","    2742945","         32.21"
"INFY","EQ","25-Nov-2020","       1140.05","       1137.00","       1143.50","       1111.25","       1118.80","       1115.65","       1124.52","    8958701","         10074223659.60","     220995","    5048132","         56.35"
"INFY","EQ","26-Nov-2020","       1115.65","       1119.95","       1119.95","       1098.30","       1118.00","       1113.20","       1105.60","   10962256","         12119904676.30","     207324","    5794530","         52.86"
"INFY","EQ","27-Nov-2020","       1113.20","       1118.00","       1121.00","       1091.00","       1112.35","       1100.00","       1103.85","   25306145","         27934277723.70","     238942","   18969986","         74.96"
